elemen,indikator,defenisi,satuan,tar2015,rel2015,tar2016,rel2016,tar2017,rel2017,tar2018,rel2018,tar2019,rel2019
Kelautan_Perikanan,"2) Produksi (Rawa, Danau, Sungai dll) (Ton)",,,,,,,,,,,,
Kelautan_Perikanan,"3) Nilai Produksi (Rawa, Danau, Sungai dll) (Juta)",,,,,,,,,,,,
Kelautan_Perikanan,4) Perusahaan Pengolahan Perikanan Air Tawar,,,,,,,,,,,,
Kelautan_Perikanan,1) Jumlah Perusahaan (Unit),PERMEN 54,,,,,,,,,,,
Kelautan_Perikanan,2) Omset Produksi (Juta),,,,,,,,,,,,
Kelautan_Perikanan,5) Perusahaan Pengolahan Perikanan Air Laut,,,,,,,,,,,,
Kelautan_Perikanan,1) Jumlah Perusahaan (Unit),PERMEN 54,,,,,,,,,,,
Kelautan_Perikanan,2) Omset Produksi (Juta),,,,,,,,,,,,
Kelautan_Perikanan,6) Balai Benih Ikan (BBI),,,,,,,,,,,,
Kelautan_Perikanan,1) Jumlah Balai Benih Ikan (BBI) (Unit),,,,,,,,,,,,
Kelautan_Perikanan,2) Produksi Usaha Pembenihan (Juta),,,,,,,,,,,,
Kelautan_Perikanan,3) Nilai Produksi Usaha Pembenihan (Juta),,,,,,,,,,,,
Kelautan_Perikanan,7) Unit Pembenihan Rakyat (UPR),,,,,,,,,,,,
Kelautan_Perikanan,1) Jumlah Unit Pembenihan Rakyat (UPR) (Unit),,,,,,,,,,,,
Kelautan_Perikanan,2) Produksi Usaha Pembenihan (Juta),,,,,,,,,,,,
Kelautan_Perikanan,3) Nilai Produksi Usaha Pembenihan (Juta),,,,,,,,,,,,
Kelautan_Perikanan,8) Jumlah produksi ikan (Ton),,,,,,,,,,,,
Kelautan_Perikanan,1) Perikanan laut (Ton),PERMEN 54,,,,,,,,,,,
Kelautan_Perikanan,2) Perikanan darat (Ton),PERMEN 54,,,,,,,,,,,
Kelautan_Perikanan,9) Target Daerah Produksi Ikan (Ton),,,,,,,,,,,,
Kelautan_Perikanan,1) Perikanan laut (Ton),PERMEN 54,,,,,,,,,,,
Kelautan_Perikanan,2) Perikanan darat (Ton),PERMEN 54,,,,,,,,,,,
Kelautan_Perikanan,10) Jumlah Konsumsi Ikan (Ton),,,,,,,,,,,,
Kelautan_Perikanan,1) Perikanan laut (Ton),PERMEN 54,,,,,,,,,,,
Kelautan_Perikanan,2) Perikanan darat (Ton),PERMEN 54,,,,,,,,,,,
Kelautan_Perikanan,11) Target Daerah konsumsi Ikan (Ton),,,,,,,,,,,,
Kelautan_Perikanan,1) Perikanan laut (Ton),PERMEN 54,,,,,,,,,,,
Kelautan_Perikanan,2) Perikanan darat (Ton),PERMEN 54,,,,,,,,,,,
Kelautan_Perikanan,2) Kelompok Sumber Daya Sosial,,,,,,,,,,,,
Kelautan_Perikanan,3) Kelompok Usaha Bidang Perikanan,,,,,,,,,,,,
Kelautan_Perikanan,1) Kelompok Usaha Bersama,kelompok usaha perikanan yang beranggotakan nelayan,,,,,,,,,,,
Kelautan_Perikanan,2) Kelompok Pengolahan dan Pemasaran Perikanan,kolompok pengolah dan memasarkan produk perikanan,,,,,,,,,,,
Kelautan_Perikanan,1) Kontak Tani Nelayan Andalan (Kelompok),,,,,,,,,,,,
Kelautan_Perikanan,2) Karang Taruna (Kelompok),,,,,,,,,,,,
Kelautan_Perikanan,3) Kelompok Nelayan (Kelompok),PERMEN 54,,,,,,,,,,,
Kelautan_Perikanan,4) Jumlah kelompok nelayan yang mendapat bantuan Pemda (Kelompok),PERMEN 54,,,,,,,,,,,
Kelautan_Perikanan,4) Jumlah Produksi Ikan Hasil Kelompok Nelayan (Ton),PERMEN 54,,,,,,,,,,,
Kelautan_Perikanan,1) Jumlah Kasus Pencurian Ikan (Kasus),,,,,,,,,,,,
Kelautan_Perikanan,2) Jumlah Kapal Pencuri Ikan yang disita (Buah),,,,,,,,,,,,
Kelautan_Perikanan,3) Jumlah Lokasi Pencurian Ikan (Lokasi),,,,,,,,,,,,
Kelautan_Perikanan,5) Laut 12 Mil dari Darat(Km2),PERMEN 54,,,,,,,,,,,
Kelautan_Perikanan,6) Laut Teritorial(Km2),PERMEN 54,,,,,,,,,,,
Kelautan_Perikanan,7) Zona Ekonomi Eksklusif(Km2),PERMEN 54,,,,,,,,,,,
Kelautan_Perikanan,8) Laut Landasan Kontinen(Km2),PERMEN 54,,,,,,,,,,,
Kelautan_Perikanan,9) Perikanan(Rp Juta),PERMEN 54,,,,,,,,,,,
